rebal_date,solver,converged,iterations,elapsed_time,final_residual,relative_residual,condition_number,min_eigenvalue
2024-08-06,PCG_Jacobi,False,19,9.412498911842704e-05,6.320363557684588e-10,1.6116408063208285e-07,197.4005510175328,4.3288973190939324e-05
2024-09-05,PCG_Jacobi,False,20,9.633300942368805e-05,1.5655938484436452e-10,3.3599599934743954e-08,203.52718513037323,4.252643859884502e-05
2024-10-04,PCG_Jacobi,False,19,9.495799895375967e-05,1.1937172443001145e-09,1.9859732964525023e-07,202.94894875795268,4.256204556852012e-05
2024-11-04,PCG_Jacobi,False,20,0.00010308399214409292,1.0868905793828775e-10,1.8894500684951304e-08,209.839273944385,3.931085055821816e-05
2024-12-04,PCG_Jacobi,False,18,9.283301187679172e-05,6.583880494754354e-10,1.3201306726598305e-07,191.17210733855572,3.932288908620125e-05
2023-01-03,PCG_SSOR,True,19,0.0006196670001372695,2.7938759716428974e-15,7.372025115488923e-13,277.0938955457468,4.117939732756927e-05
2023-02-02,PCG_SSOR,True,19,0.0005603330209851265,2.113461778950759e-13,7.122492748502244e-11,281.22856820634104,4.078053652327629e-05
2023-03-06,PCG_SSOR,True,19,0.0006794999935664237,5.1824213674895575e-15,1.5557775456126715e-12,255.26422801549478,4.3759866007751417e-05
2023-04-04,PCG_SSOR,True,19,0.0005570419889409095,5.675350318819208e-14,1.6855621125885922e-11,244.44386455614892,4.334560928039186e-05
2023-05-04,PCG_SSOR,True,19,0.0006305839924607426,3.3932669190350836e-14,9.835593266121442e-12,235.50514512248282,4.460073720689473e-05
2023-06-05,PCG_SSOR,True,19,0.0005499999970197678,4.456872428353244e-16,1.4408827696849506e-13,225.75834993157278,4.724199068007024e-05
2023-07-06,PCG_SSOR,True,19,0.0005423330003395677,2.7638482729310534e-16,9.14434416843344e-14,225.53625773609681,4.747103823266089e-05
2023-08-04,PCG_SSOR,True,19,0.0005308749969117343,9.290003098407515e-16,3.0130753445388866e-13,223.11644616683182,4.823095882348874e-05
2023-09-05,PCG_SSOR,True,19,0.0005507500027306378,2.1187314204186703e-15,6.728148475876276e-13,226.3528250883106,4.8049566617164857e-05
2023-10-04,PCG_SSOR,True,19,0.0005316659808158875,2.028686091305256e-15,6.334592891628653e-13,228.70841952917,4.742118914555048e-05
2023-11-02,PCG_SSOR,True,19,0.0005649169906973839,9.093076596102633e-15,2.58212579637907e-12,233.71174847535744,4.6709579817969424e-05
2023-12-04,PCG_SSOR,True,19,0.0005462910048663616,1.7273266972874368e-14,5.070962544351447e-12,244.1684020671227,4.431655414095431e-05
2024-01-04,PCG_SSOR,True,19,0.0005681659968104213,2.0792068269246963e-14,6.222546852809985e-12,244.03483836287944,4.380289238467149e-05
2024-02-05,PCG_SSOR,True,19,0.0005665000062435865,1.8477121465794555e-15,7.005568680097967e-13,236.79054811338423,4.308750883354856e-05
